id,name,code,reason,date,close,zhangdie,zhangfu,huanshou,chengjiaoe,chengjiaoliang,ddejingliang,market
90534434,香江控股,600162,豪宅项目获奖+家居商贸+广州地产,2026-06-18,3.58,0.33,10.154,8.33,92718,2721003,1.23,17
90534507,长江材料,001296,非金属材料+覆膜砂龙头+3D打印,2026-06-18,20.56,1.87,10.005,12.42,19193,95763,0.0,33
90535038,阳光股份,000608,商业运营+数字科技+摘帽,2026-06-18,7.59,0.69,10.0,5.5,30128,409854,0.0,33
90535124,合锻智能,603011,PCB层压设备+光模块结构件+核聚变概念,2026-06-18,39.55,3.6,10.014,10.7,202838,528979,1.49,17
90535211,龙星科技,002442,炭黑龙头+绿色低碳,2026-06-18,5.48,0.5,10.04,8.08,21006,398018,0.0,33
90536194,梦百合,603313,智能床+美国产能+实控人代偿应收款,2026-06-18,5.56,0.51,10.099,3.71,11323,211699,0.89,17
90537075,光迅科技,002281,3.2T硅光NPO+CPO+定增+央企,2026-06-18,266.2,24.2,10.0,5.25,1047779,409673,0.0,33
90538916,众生药业,002317,减肥药+创新药+流感,2026-06-18,22.9,2.08,9.99,4.06,67812,309314,0.0,33
90539555,昭衍新药,603127,创新药CRO+实验猴涨价+股权激励,2026-06-18,35.66,3.24,9.994,4.38,95189,275854,0.93,17
90541169,汉钟精机,002158,半导体真空泵+AIDC液冷+一季报增长,2026-06-18,34.35,3.12,9.99,3.96,70065,211468,0.0,33
90542084,卓郎智能,600545,电子布设备+华为合作+纺织机械,2026-06-18,7.25,0.66,10.015,9.66,119619,1727931,1.11,17
90555951,东方国信,300166,算力租赁+智算中心+AI云平台,2026-06-18,18.7,3.12,20.026,21.78,348730,1972748,0.0,33
90555957,易德龙,603380,AI服务器+机器人+海外扩产+EMS,2026-06-18,41.03,3.73,10.0,2.56,16123,41077,0.74,17
90556512,盛剑科技,603324,半导体附属装备+电子化学品+股权激励,2026-06-18,43.1,3.92,10.005,12.44,76525,183728,0.68,17
90557382,麦捷科技,300319,英伟达电感+光模块+深圳国资,2026-06-18,27.76,4.63,20.017,21.19,458002,1803893,0.0,33
90557528,新广益,301687,PCB+特种膜+新能源材料+国产替代,2026-06-18,82.44,13.74,20.0,40.48,92092,119547,0.0,33
90557982,鑫宏业,301310,高速铜缆连接+人形机器人线缆+可控核聚变,2026-06-18,46.75,7.79,19.995,36.6,100085,223204,0.0,33
90558127,中瓷电子,003031,光通信陶瓷外壳+SiC功率器件+央企,2026-06-18,176.29,16.03,10.003,4.66,269346,158477,0.0,33
90558676,品高股份,688227,算力租赁+AI芯片+云计算,2026-06-18,102.3,17.05,20.0,10.49,113476,118604,0.78,17
90558955,恒为科技,603496,算力服务+华为钻石伙伴+中标中国移动,2026-06-18,26.74,2.43,9.996,8.52,70662,272859,2.11,17
90559363,奥美医疗,002950,医用敷料出口第一+员工持股计划+拟实施分红,2026-06-18,9.82,0.89,9.966,5.19,21047,222880,0.0,33
90560359,三特索道,002159,自然景点+索道+国企改革,2026-06-18,14.37,1.31,10.031,8.11,15636,112268,0.0,33
90560479,九州一轨,688485,硅光+半导体+金刚石+轨交减振降噪,2026-06-18,67.9,11.32,20.007,14.78,83596,131170,0.35,17
90563238,洁美科技,002859,MLCC离型膜+HVLP铜箔+转债强赎,2026-06-18,99.73,9.07,10.004,6.46,249810,262271,0.0,33
90563273,太极实业,600667,HBM后工序+存储芯片+先进封装+无锡国资,2026-06-18,20.92,1.9,9.99,17.67,741014,3695765,1.05,17
90563284,北自科技,603082,机器人+智能物流+收购穗柯智能+央企,2026-06-18,41.03,3.73,10.0,26.31,42160,106690,2.6,17
90563675,天海电子,001365,人形机器人+储能连接器+汽车线束龙头+广州国资,2026-06-18,44.22,4.02,10.0,19.92,49105,114543,0.0,33
90564551,华体科技,603679,股份转让+华为超充+低空经济,2026-06-18,21.43,1.95,10.01,5.61,20412,99693,0.73,17
90564766,中钨高新,000657,调入深证100+AI PCB钻针+央企,2026-06-18,98.48,8.95,9.997,6.3,856825,914634,0.0,33
90564999,江钨装备,600397,钨钽铌并购+磁选装备+江西国资,2026-06-18,20.2,1.84,10.022,15.53,295605,1537511,1.54,17
90565755,天目药业,600671,青岛国资+眼科医疗+中药+年报增长,2026-06-18,17.96,1.63,9.982,5.84,12348,71114,0.59,17
90566781,和远气体,002971,电子特气+六氟化钨+减持+大宗气体,2026-06-18,67.38,6.13,10.008,18.81,188142,294223,0.0,33
90567515,领先股份,603991,半导体引线框架+半导体设备+资产重组,2026-06-18,129.69,11.79,10.0,10.19,95321,75959,0.75,17
90568720,翔鹭钨业,002842,定增通过+钨全产业链+光伏钨丝+业绩增长,2026-06-18,47.72,4.34,10.005,32.65,387035,876459,0.0,33
90569132,*ST春天,600381,摘帽预期+听花酒+大健康+西部大开发,2026-06-18,5.04,0.24,5.0,1.34,3788,78927,0.0,22
90570966,ST雪发,002485,文旅演艺+供应链物流,2026-06-18,4.91,0.23,4.915,1.37,3590,74284,0.0,33
90572560,*ST亚振,603389,锆钛矿选矿+申请摘帽+或资产注入,2026-06-18,61.27,2.92,5.004,0.63,9993,16592,0.0,22
90573086,上海机电,600835,AI算力供电+人形机器人+电梯+上海国资,2026-06-18,22.4,2.04,10.02,1.84,31820,148472,0.2,17
90574290,德创环保,603177,大气治理出海+钠离子电池+注册资本减少,2026-06-18,10.88,0.99,10.01,8.79,17748,179382,1.1,17
90574331,屹唐股份,688729,干法刻蚀设备+干法去胶+募投完成+北京国资,2026-06-18,33.07,5.51,19.993,35.45,237966,762147,0.97,17
